County,Cost-of-food index,Weighted cost per meal,,,
Anderson, 0.943 , $2.58 ,,6612,4129.6
Andrews, 0.914 , $2.50 ,,1166.88,491.04
Angelina, 0.896 , $2.46 ,,11660.7,3423.78
Aransas, 0.922 , $2.53 ,,2604,870.48
Archer, 0.908 , $2.49 ,,643.5,543.4
Armstrong, 0.947 , $2.59 ,,132.16,130.2
Atascosa, 0.887 , $2.43 ,,5041.08,0
Austin, 0.992 , $2.72 ,,2308.92,1520.82
Bailey, 1.004 , $2.75 ,,980,0
Bandera, 1.043 , $2.86 ,,1608.54,1379.21
Bastrop, 0.852 , $2.33 ,,7158.3,3144.3
Baylor, 0.903 , $2.48 ,,386.45,157.53
Bee, 0.820 , $2.25 ,,3123.81,2130.12
Bell, 0.880 , $2.41 ,,35142.46,22221.52
Bexar, 0.883 , $2.42 ,,196285.92,73093.92
Blanco, 0.925 , $2.53 ,,840.96,420.48
Borden, 0.893 , $2.45 ,,22.6,71.6
Bosque, 0.876 , $2.40 ,,1930.5,724.68
Bowie, 0.850 , $2.33 ,,11775.8,5723
Brazoria, 1.003 , $2.75 ,,22209.68,23334.84
Brazos, 0.942 , $2.58 ,,31759.35,10240.77
Brewster, 1.053 , $2.89 ,,916.65,411.75
Briscoe, 0.985 , $2.70 ,,215.02,10.66
Brooks, 0.794 , $2.17 ,,1230,0
Brown, 0.948 , $2.60 ,,4301.11,1621.73
Burleson, 0.939 , $2.57 ,,1654.47,853.74
Burnet, 0.906 , $2.48 ,,4286.64,1745.66
Caldwell, 0.818 , $2.24 ,,4813.91,1474.3
Calhoun, 0.829 , $2.27 ,,2303,973.84
Callahan, 0.934 , $2.56 ,,1132.78,735.68
Cameron, 0.761 , $2.08 ,,72880,0
Camp, 0.925 , $2.53 ,,1822.26,446.78
Carson, 0.946 , $2.59 ,,362.67,348.81
Cass, 0.927 , $2.54 ,,4290.21,1543.95
Castro, 1.022 , $2.80 ,,1195.36,0
Chambers, 1.097 , $3.01 ,,2239.47,2334.66
Cherokee, 0.946 , $2.59 ,,7327.74,2187.08
Childress, 0.990 , $2.71 ,,569.52,520.93
Clay, 0.897 , $2.46 ,,717.8,618.64
Cochran, 0.968 , $2.65 ,,409.2,0
Coke, 0.901 , $2.47 ,,290.97,192.39
Coleman, 0.935 , $2.56 ,,1434.4,167.2
Collin, 1.011 , $2.77 ,,42342.08,70971.1
Collingsworth, 0.984 , $2.70 ,,389.06,61.74
Colorado, 0.849 , $2.33 ,,2208.92,888.37
Comal, 0.978 , $2.68 ,,7465.71,6990.48
Comanche, 0.936 , $2.57 ,,1740,559.2
Concho, 0.894 , $2.45 ,,245.1,308.94
Cooke, 0.986 , $2.70 ,,3714.6,1944.88
Coryell, 0.851 , $2.33 ,,7854.08,5982.6
Cottle, 0.989 , $2.71 ,,187.6,59.92
Crane, 0.901 , $2.47 ,,377.85,138.6
Crockett, 0.836 , $2.29 ,,307.23,0
Crosby, 0.939 , $2.57 ,,940.22,94.34
Culberson, 0.910 , $2.49 ,,282.48,0
Dallam, 0.943 , $2.58 ,,765.33,11.64
Dallas, 0.934 , $2.56 ,,337866.86,106744.96
Dawson, 0.925 , $2.53 ,,1337.74,713.18
Deaf Smith, 0.957 , $2.62 ,,2264.4,242.25
Delta, 0.953 , $2.61 ,,646.08,177.6
Denton, 1.017 , $2.79 ,,41961.14,57459.35
DeWitt, 0.772 , $2.12 ,,1878.24,981.26
Dickens, 0.937 , $2.57 ,,253.44,150.48
Dimmit, 0.748 , $2.05 ,,1370,0
Donley, 1.014 , $2.78 ,,348.39,236.88
Duval, 0.806 , $2.21 ,,1411.85,0
Eastland, 0.942 , $2.58 ,,2343.92,727.08
Ector, 0.872 , $2.39 ,,13830.99,4782.5
Edwards, 0.840 , $2.30 ,,204.88,48.1
Ellis, 0.932 , $2.55 ,,12938.12,8493.55
El Paso, 0.887 , $2.43 ,,120411.27,0
