,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
73942,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,50.00%,50.00%,25.00%,0.00%,100.00%,100.00%
73960,0.00%,0.00%,0.00%,0.00%,92.31%,0.00%,7.69%,7.69%,84.62%,7.69%,50.00%,50.00%
75000,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75001,0.61%,0.69%,20.92%,0.00%,37.67%,0.09%,40.02%,56.34%,38.54%,5.12%,59.70%,56.97%
75002,1.09%,4.57%,25.71%,0.14%,43.33%,0.07%,25.04%,24.83%,69.01%,6.16%,50.33%,47.01%
75004,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75006,0.47%,2.52%,8.97%,0.10%,34.74%,0.07%,53.12%,74.32%,21.36%,4.31%,65.83%,63.18%
75007,0.82%,6.29%,24.60%,0.06%,33.84%,0.19%,34.22%,43.26%,50.95%,5.82%,50.72%,47.28%
75009,2.37%,0.59%,10.87%,0.20%,47.23%,0.00%,38.54%,41.70%,52.57%,5.53%,54.25%,50.98%
75010,1.20%,15.59%,33.48%,0.00%,30.53%,0.00%,19.19%,21.59%,72.63%,5.78%,41.87%,38.86%
75011,0.00%,0.00%,55.56%,0.00%,33.33%,0.00%,22.22%,11.11%,66.67%,22.22%,50.00%,25.00%
75013,1.47%,12.53%,20.39%,0.25%,46.93%,0.49%,17.94%,12.78%,78.87%,8.60%,37.50%,35.63%
75015,0.00%,0.00%,31.25%,0.00%,40.63%,0.00%,28.13%,31.25%,65.63%,3.13%,15.79%,15.79%
75016,0.00%,0.00%,81.82%,0.00%,0.00%,0.00%,27.27%,18.18%,81.82%,9.09%,20.00%,20.00%
75017,0.00%,0.00%,33.33%,0.00%,20.00%,0.00%,40.00%,40.00%,46.67%,6.67%,33.33%,16.67%
75018,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75019,0.45%,7.00%,22.69%,0.11%,38.37%,0.11%,31.38%,36.46%,57.00%,6.55%,45.48%,42.90%
75020,1.02%,0.51%,15.39%,0.00%,66.69%,0.16%,16.25%,11.95%,79.82%,8.23%,40.53%,37.89%
75021,1.08%,0.46%,8.90%,0.00%,75.62%,0.08%,13.85%,10.76%,81.89%,7.35%,40.81%,38.03%
75022,0.44%,5.78%,7.11%,0.00%,52.44%,0.00%,34.22%,45.78%,48.44%,5.78%,51.35%,50.00%
75023,0.84%,7.22%,27.68%,0.44%,37.42%,0.11%,26.26%,26.40%,66.12%,7.48%,50.11%,46.76%
75024,0.61%,10.39%,30.35%,0.00%,41.96%,0.20%,16.50%,15.89%,77.60%,6.52%,35.64%,32.18%
75025,0.83%,13.25%,31.19%,0.09%,35.69%,0.28%,18.77%,15.55%,76.91%,7.54%,37.29%,33.90%
75026,0.00%,25.00%,50.00%,0.00%,25.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75027,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
75028,0.77%,4.15%,15.08%,0.00%,59.85%,0.15%,19.85%,24.77%,70.62%,4.62%,45.29%,43.50%
75029,0.00%,0.00%,58.33%,0.00%,16.67%,0.00%,25.00%,25.00%,66.67%,8.33%,25.00%,25.00%
75030,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75031,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75032,0.67%,0.90%,12.44%,0.00%,39.41%,0.06%,46.52%,52.02%,41.48%,6.50%,51.30%,47.78%
75033,0.00%,1.05%,20.98%,0.35%,51.05%,0.00%,26.92%,36.36%,58.04%,5.59%,53.85%,51.65%
